CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2
4.66075	0.00662	2.12766	0.0278	-0.0278
4.66738	0.00662	2.15316	0.02524	-0.02524
4.67394	0.00662	2.21092	0.02721	-0.02721
4.68056	0.00662	2.10166	0.02543	-0.02543
4.68718	0.00662	2.14415	0.02609	-0.02609
4.69379	0.00662	2.14028	0.02658	-0.02658
4.70041	0.00662	2.16335	0.02763	-0.02763
4.70703	0.00662	2.17784	0.0265	-0.0265
4.71365	0.00662	2.16308	0.02463	-0.02463
4.72026	0.00662	2.16238	0.02645	-0.02645
4.72684	0.00661	2.16168	0.02658	-0.02658
4.73342	0.00661	2.11775	0.02851	-0.02851
4.74004	0.00661	2.14726	0.02707	-0.02707
4.74665	0.00661	2.15391	0.02886	-0.02886
4.75326	0.00661	2.1172	0.02724	-0.02724
4.75987	0.00661	2.12992	0.02728	-0.02728
4.76648	0.00661	2.10959	0.02997	-0.02997
4.77309	0.00661	2.1497	0.02974	-0.02974
4.77969	0.00661	2.16065	0.02774	-0.02774
4.78623	0.00661	2.1236	0.02796	-0.02796
4.79284	0.00661	2.16075	0.02645	-0.02645
4.79944	0.0066	2.14028	0.02826	-0.02826
4.80605	0.0066	2.15937	0.02853	-0.02853
4.81265	0.00659	2.17259	0.02845	-0.02845
4.81925	0.00658	2.181	0.03139	-0.03139
4.82585	0.00659	2.14995	0.02781	-0.02781
4.83245	0.0066	2.16757	0.02906	-0.02906
4.83898	0.0066	2.15053	0.02959	-0.02959
4.84558	0.0066	2.16131	0.02869	-0.02869
4.85218	0.0066	2.13715	0.02998	-0.02998
4.85877	0.00659	2.18572	0.0311	-0.0311
4.86537	0.00658	2.1546	0.02932	-0.02932
4.87196	0.00658	2.11942	0.02965	-0.02965
4.87855	0.00659	2.13547	0.03857	-0.03857
4.88508	0.00659	2.18595	0.03175	-0.03175
4.89167	0.00659	2.13051	0.03029	-0.03029
4.89826	0.00659	2.15721	0.02981	-0.02981
4.90485	0.00659	2.14755	0.02844	-0.02844
4.91143	0.00658	2.1486	0.02884	-0.02884
4.91802	0.00657	2.16437	0.03097	-0.03097
4.9246	0.00658	2.18546	0.02996	-0.02996
4.93112	0.00658	2.17401	0.03056	-0.03056
4.93771	0.00658	2.12768	0.03346	-0.03346
4.94429	0.00658	2.12031	0.03258	-0.03258
4.95087	0.00658	2.14393	0.02874	-0.02874
4.95745	0.00657	2.17316	0.03008	-0.03008
4.96403	0.00656	2.17372	0.03018	-0.03018
4.97061	0.00657	2.17863	0.03143	-0.03143
4.97745	0.00658	2.17097	0.03146	-0.03146
4.98435	0.00658	2.1226	0.02888	-0.02888
4.99093	0.00658	2.12664	0.03339	-0.03339
4.9975	0.00657	2.09463	0.03355	-0.03355
5.00407	0.00656	2.13677	0.03114	-0.03114
5.01031	0.00656	2.10977	0.03112	-0.03112
5.01688	0.00657	2.17386	0.03223	-0.03223
5.02372	0.00657	2.18308	0.03257	-0.03257
5.03029	0.00657	2.15004	0.03283	-0.03283
5.03685	0.00657	2.11891	0.0329	-0.0329
5.04342	0.00655	2.10663	0.03244	-0.03244
5.04998	0.00655	2.10085	0.04022	-0.04022
5.05655	0.00656	2.13619	0.03131	-0.03131
5.06304	0.00656	2.16811	0.03184	-0.03184
5.06961	0.00656	2.11347	0.03156	-0.03156
5.07617	0.00656	2.15737	0.03011	-0.03011
5.08207	0.00558	2.14591	0.03535	-0.03535
5.08797	0.00675	2.07711	0.03451	-0.03451
5.09486	0.00675	2.11042	0.03422	-0.03422
5.10168	0.00675	2.09816	0.02969	-0.02969
5.10823	0.00675	2.12272	0.03059	-0.03059
5.11511	0.00675	2.10243	0.02887	-0.02887
5.12199	0.00675	2.13764	0.03188	-0.03188
5.12854	0.00675	2.10065	0.05724	-0.05724
5.13542	0.00675	2.16063	0.03336	-0.03336
5.14223	0.00675	2.17967	0.03321	-0.03321
5.14878	0.00675	2.12275	0.03419	-0.03419
5.15565	0.00675	2.07862	0.03369	-0.03369
5.16252	0.00675	2.0907	0.03528	-0.03528
5.16907	0.00675	2.1058	0.0436	-0.0436
